v1,v2
No spam,Send his number and give reply tomorrow morning for why you said that to him like that ok
No spam,You said not now. No problem. When you can. Let me know.
No spam,Ok but tell me half an hr b4 u come i need 2 prepare.
No spam,Play w computer? Aiyah i tok 2 u lor?
No spam,Sat right? Okay thanks... 
No spam,"Derp. Which is worse, a dude who always wants to party or a dude who files a complaint about the three drug abusers he lives with"
No spam,Ok Chinese food on its way. When I get fat you're paying for my lipo.
No spam,We r outside already.
No spam,Have a good trip. Watch out for . Remember when you get back we must decide about easter.
No spam,Yo we are watching a movie on netflix
No spam,What time. I���m out until prob 3 or so
No spam,"Can meh? Thgt some will clash... Really ah, i dun mind... I dun seen to have lost any weight... Gee..."
No spam,I dont thnk its a wrong calling between us
No spam,I am not sure about night menu. . . I know only about noon menu
No spam,ARR birthday today:) i wish him to get more oscar.
No spam,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it..."
No spam,"Open rebtel with firefox. When it loads just put plus sign in the user name place, and it will show you two numbers. The lower number is my number. Once you pick that number the pin will display okay!"
No spam, and  picking them up from various points
spam,Married local women looking for discreet action now! 5 real matches instantly to your phone. Text MATCH to 69969 Msg cost 150p 2 stop txt stop BCMSFWC1N3XX
No spam,Wow v v impressed. Have funs shopping!
No spam,I am on the way to ur home
spam,Burger King - Wanna play footy at a top stadium? Get 2 Burger King before 1st Sept and go Large or Super with Coca-Cola and walk out a winner
No spam,No problem. Talk to you later
No spam,Then ur sis how?
No spam,Still in customer place
spam,How come it takes so little time for a child who is afraid of the dark to become a teenager who wants to stay out all night?
No spam,"Dude u knw also telugu..thts gud..k, gud nyt.."
No spam,We confirm eating at esplanade?
No spam,Send me your id and password
No spam,Kind of. Took it to garage. Centre part of exhaust needs replacing. Part ordered n taking it to be fixed tomo morning.
spam,"For ur chance to win a �250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk."
No spam,Well I might not come then...
No spam,Long after I quit. I get on only like 5 minutes a day as it is.
No spam,Then its most likely called Mittelschmertz. Google it. If you dont have paracetamol dont worry it will go.
No spam,Well at this right I'm gonna have to get up and check today's steam sales/pee so text me when you want me to come get you
No spam,"Just arrived, see you in a couple days &lt;3"
No spam,"K, wat s tht incident?"
No spam,Yeah get the unlimited
No spam,cThen i thk shd b enuff.. Still got conclusion n contents pg n references.. I'll b doing da contents pg n cover pg..
No spam,"Forgot it takes me 3 years to shower, sorry. Where you at/your phone dead yet?"
No spam,�� got wat to buy tell us then �_ no need to come in again.
No spam,When you are big..| God will bring success.
spam,U�۪ve Bin Awarded �50 to Play 4 Instant Cash. Call 08715203028 To Claim. EVERY 9th Player Wins Min �50-�500. OptOut 08718727870
No spam,"��_ we r stayin here an extra week, back next wed. How did we do in the rugby this weekend? Hi to and and , c u soon """""""""""""""""
No spam,Not from this campus. Are you in the library?
No spam,"The affidavit says  &lt;#&gt;  E Twiggs St, division g, courtroom  &lt;#&gt; , &lt;TIME&gt;  AM. I'll double check and text you again tomorrow"
No spam,How will I creep on you now? ;_;
No spam,Tell your friends what you plan to do on Valentines day @ &lt;URL&gt;
No spam,If I get there before you after your ten billion calls and texts so help me god
No spam,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng musthu
No spam,I've told him that i've returned it. That should i re order it.
No spam,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office.."
No spam,Depends on where u going lor.
No spam,And smile for me right now as you go and the world will wonder what you are smiling about and think your crazy and keep away from you ... *grins*
spam,FreeMsg>FAV XMAS TONES!Reply REAL
No spam,Lil fever:) now fine:)
No spam,I think it's all still in my car
No spam,Can a not?
spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906 
No spam,Yes princess! I want to catch you with my big strong hands...
No spam,Oh yeah I forgot. U can only take 2 out shopping at once.
No spam,Mm so you asked me not to call radio
No spam,Thinkin about someone is all good. No drugs for that
No spam,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it..."
No spam,"Enjoy the showers of possessiveness poured on u by ur loved ones, bcoz in this world of lies, it is a golden gift to be loved truly.."
No spam,"Alright if you're sure, let me know when you're leaving"
No spam,Some are lasting as much as 2 hours. You might get lucky.
No spam,Genius what's up. How your brother. Pls send his number to my skype.
spam,"Gr8 Poly tones 4 ALL mobs direct 2u rply with POLY TITLE to 8007 eg POLY BREATHE1 Titles: CRAZYIN, SLEEPINGWITH, FINEST, YMCA :getzed.co.uk POBox365O4W45WQ 300p"
No spam,Thk some of em find wtc too far... Weiyi not goin... E rest i dunno yet... R ur goin 4 dinner den i might b able to join...
No spam,Don't forget who owns you and who's private property you are ... And be my good boy always .. *passionate kiss*
spam,INTERFLORA - ��It's not too late to order Interflora flowers for christmas call 0800 505060 to place your order before Midnight tomorrow.
No spam,Oh god..taken the teeth?is it paining
spam,ROMCAPspam Everyone around should be responding well to your presence since you are so warm and outgoing. You are bringing in a real breath of sunshine.
No spam,Then u ask darren go n pick u lor... But i oso sian tmr haf 2 meet lect...
No spam,No need to buy lunch for me.. I eat maggi mee..
spam,"Congratulations - Thanks to a good friend U have WON the �2,000 Xmas prize. 2 claim is easy, just call 08712103738 NOW! Only 10p per minute. BT-national-rate"
No spam,Ok lor...
No spam,"Oh right, ok. I'll make sure that i do loads of work during the day!  got a really nasty cough today and is dry n shot so that should really help it!"
No spam,Wife.how she knew the time of murder exactly
spam,Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p.
No spam,Howz that persons story
No spam,Thanx 4 sending me home...
No spam,Its normally hot mail. Com you see!
spam,"You've won tkts to the EURO2004 CUP FINAL or �800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm"
No spam,U sick still can go shopping?
No spam,"Ya they are well and fine., BBD(pooja) full pimples..even she become quite black..and ur rite here its too cold, wearing sweatter.."
No spam,Nice.nice.how is it working?
No spam,1's reach home call me.
No spam,Were trying to find a Chinese food place around here
No spam,"Easy mate, * guess the quick drink was bit ambitious."
No spam,BABE !!! I miiiiiiissssssssss you ! I need you !!! I crave you !!! :-( ... Geeee ... I'm so sad without you babe ... I love you ...
No spam,Ok thanx...
No spam,aathi..where are you dear..
No spam,"Tunji, how's the queen? how are you doing. This is just wishing you a great day. Abiola."
No spam,Today iZ Yellow rose day. If u love my frndship give me 1 misscall &amp; send this to ur frndZ &amp; See how many miss calls u get. If u get 6missed U marry ur Lover.
No spam,Will be out of class in a few hours. Sorry
No spam,Wat time u finish ur lect today?
spam,"Free-message: Jamster!Get the crazy frog sound now! For poly text MAD1, for real text MAD2 to 88888. 6 crazy sounds for just 3 GBP/week! 16+only! T&C's apply"
No spam,"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!"
spam,"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call"
No spam,She's fine. Good to hear from you. How are you my dear? Happy new year oh.
No spam,Are you going to wipro interview today?
No spam,how tall are you princess?
No spam,I doubt you could handle 5 times per night in any case...
No spam,Haha... Hope �_ can hear the receipt sound... Gd luck!
No spam,Your gonna be the death if me. I'm gonna leave a note that says its all robs fault. Avenge me.
No spam,"Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!! And finally Kerala version: If one can do it, Stop him doing it.. If none can do it, Make a strike against it ..."
No spam,Today i'm not workin but not free oso... Gee... Thgt u workin at ur fren's shop ? 
No spam,In life when you face choices Just toss a coin not becoz its settle the question But while the coin in the air U will know what your heart is hoping for. Gudni8
No spam,"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!"
No spam,I want to be there so i can kiss you and feel you next to me
No spam,I am not at all happy with what you saying or doing
spam,Adult 18 Content Your video will be with you shortly
No spam,"Ok that would b lovely, if u r sure. Think about wot u want to do, drinkin, dancin, eatin, cinema, in, out, about... Up to u! Wot about ? "
No spam,What I'm saying is if you haven't explicitly told nora I know someone I'm probably just not gonna bother
No spam,He says hi and to get your ass back to south tampa (preferably at a kegger)
No spam,Smith waste da.i wanna gayle.
No spam,"Mum, i've sent you many many messages since i got here. I just want to know that you are actually getting them. Do enjoy the rest of your day."
No spam,"Aight, tomorrow around  &lt;#&gt;  it is"
No spam,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?"
spam,"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call."
No spam,I actually did for the first time in a while. I went to bed not too long after i spoke with you. Woke up at 7. How was your night?
No spam,See you there! 
No spam,I dont understand your message.
No spam,Crucify is c not s. You should have told me earlier.
No spam,"Idk. You keep saying that you're not, but since he moved, we keep butting heads over freedom vs. responsibility. And i'm tired. I have so much other shit to deal with that i'm barely keeping myself together once this gets added to it."
No spam,Fuck cedar key and fuck her (come over anyway tho)
No spam,twenty past five he said will this train have been to durham already or not coz i am in a reserved seat
spam,"Hey Boys. Want hot XXX pics sent direct 2 ur phone? Txt PORN to 69855, 24Hrs free and then just 50p per day. To stop text STOPBCM SF WC1N3XX"
No spam,U still painting ur wall?
spam,"Last Chance! Claim ur �150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. �3.00 Sub. 16"
No spam,Printer is cool. I mean groovy. Wine is groovying
No spam,Hi Harish's rent has been transfred to ur Acnt.
No spam,Anything lor is she coming?
No spam,Cbe is really good nowadays:)lot of shop and showrooms:)city is shaping good.
No spam,�� still attending da talks?
No spam,No probs hon! How u doinat the mo?
No spam,K I'll take care of it
No spam,I take it we didn't have the phone callon Friday. Can we assume we won't have it this year now?
No spam,My battery is low babe
No spam,Shuhui has bought ron's present it's a swatch watch...
No spam,"Yeah there's quite a bit left, I'll swing by tomorrow when I get up"
No spam,Babe? You said 2 hours and it's been almost 4 ... Is your internet down ?
No spam,K I'll be sure to get up before noon and see what's what
No spam,K...k...yesterday i was in cbe .
No spam,Went to ganesh dress shop
spam,"pdate_Now - Double mins and 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia & Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/!YHL"
No spam,�� collecting ur laptop then going to configure da settings izzit?
No spam,If you r @ home then come down within 5 min
No spam,"Aight, I should be there by 8 at the latest, probably closer to 7. Are jay and tyler down or should we just do two trips?"
No spam,Come aftr  &lt;DECIMAL&gt; ..now i m cleaning the house
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1
No spam,"Bill, as in: Are there any letters for me. i�۪m expecting one from orange that isn�۪t a bill but may still say orange on it."
No spam,Tell me pa. How is pain de.
No spam,HI DARLIN I HOPE YOU HAD A NICE NIGHT I WISH I HAD COME CANT WAIT TO SEE YOU LOVE FRAN PS I WANT DIRTY ANAL SEX AND I WANT A 10 MAN GANG BANG
No spam,"Ha. You don���t know either. I did a a clever but simple thing with pears the other day, perfect for christmas."
No spam,"""""""""""""""""""""""""""""""Helloooo... Wake up..! \Sweet"""""""""""""""""""""""""""""""" \""""""""""""""""""""""""""""""""morning\"""""""""""""""""""""""""""""""" \""""""""""""""""""""""""""""""""welcomes\"""""""""""""""""""""""""""""""" \""""""""""""""""""""""""""""""""You\"""""""""""""""""""""""""""""""" \""""""""""""""""""""""""""""""""Enjoy\"""""""""""""""""""""""""""""""" \""""""""""""""""""""""""""""""""This Day\"""""""""""""""""""""""""""""""" \""""""""""""""""""""""""""""""""with full of joy\"""""""""""""""""""""""""""""""".. \""""""""""""""""""""""""""""""""GUD MRNG\""""""""""""""""""""""""""""""""."""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
No spam,ALRITE
No spam,Why must we sit around and wait for summer days to celebrate. Such a magical sight when the worlds dressed in white. Oooooh let there be snow.
spam,URGENT! Your Mobile number has been awarded with a �2000 prize GUARANTEED. Call 09058094454 from land line. Claim 3030. Valid 12hrs only
No spam,How do you guys go to see movies on your side.
No spam,"Sorry,in meeting I'll call later"
No spam,You didn't have to tell me that...now i'm thinking. Plus he's going to stop all your runs
No spam,Kindly send some one to our flat before  &lt;DECIMAL&gt;  today.
spam,Sorry! U can not unsubscribe yet. THE MOB offer package has a min term of 54 weeks> pls resubmit request after expiry. Reply THEMOB HELP 4 more info
No spam,Nothing lor... A bit bored too... Then y dun u go home early 2 sleep today...
No spam,What time should I tell my friend to be around?
No spam,Yes. that will be fine. Love you. Be safe.
No spam,Thanks chikku..:-) gud nyt:-*
No spam,Is xy in ur car when u picking me up?
No spam,"Thanx 4 the time we��ve spent 2geva, its bin mint! Ur my Baby and all I want is u!xxxx"
No spam,"Yo, any way we could pick something up tonight?"
No spam,I've not sent it. He can send me.
No spam,Fine am simply sitting.
No spam,Thts god's gift for birds as humans hav some natural gift frm god..
No spam,Are you coming to day for class.
No spam,Im done. Just studyn in library
No spam,Ok... U enjoy ur shows...
No spam,Anything...
No spam,Where wuld I be without my baby? The thought alone mite break me and I don��t wanna go crazy but everyboy needs his lady xxxxxxxx
No spam,Wat's my dear doing? Sleeping ah?
No spam,Hi' Test on  &lt;#&gt; rd ....
No spam,Only 2% students solved this CAT question in 'xam... 5+3+2= &lt;#&gt;  9+2+4= &lt;#&gt;  8+6+3= &lt;#&gt;  then 7+2+5=????? Tell me the answer if u r brilliant...1thing.i got d answr.
No spam,Yo do you know anyone  &lt;#&gt;  or otherwise able to buy liquor? Our guy flaked and right now if we don't get a hold of somebody its just 4 loko all night
No spam,Yup n her fren lor. I'm meeting my fren at 730.
No spam,"Yeah, we got one lined up for us"
No spam,"""""""""""""""""""""""""""""""And stop wondering \wow is she ever going to stop tm'ing me ?!"""""""""""""""""""""""""""""""" because I will tm you whenever I want because you are MINE ... *laughs*"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
No spam,Lol yep did that yesterday. Already got my fireplace. Now its just another icon sitting there for me.
No spam,Hey i've booked the pilates and yoga lesson already... Haha
No spam,Are you ok. What happen to behave like this
spam,You have 1 new message. Please call 08712400200.
No spam,My supervisor find 4 me one lor i thk his students. I havent ask her yet. Tell u aft i ask her.
No spam,"Hello. No news on job, they are making me wait a fifth week! Yeah im up for some woozles and weasels... In exeter still, but be home about 3. "
No spam,No message..no responce..what happend?
spam,We currently have a message awaiting your collection. To collect your message just call 08718723815.
No spam,"Hey babe, sorry i didn't get sooner. Gary can come and fix it cause he thinks he knows what it is but he doesn't go as far a Ptbo and he says it will cost  &lt;#&gt;  bucks. I don't know if it might be cheaper to find someone there ? We don't have any second hand machines at all right now, let me know what you want to do babe"
No spam,make that 3! 4 fucks sake?! x
No spam,Leave it. U will always be ignorant.
No spam,Nope but i'll b going 2 sch on fri quite early lor cos mys sis got paper in da morn :-)
No spam,at bruce b downs &amp; fletcher now
No spam,Where are you ? You said you would be here when I woke ... :-(
No spam,Hey now am free you can call me.
No spam,Tell me whos this pls:-)
spam,"URGENT! Your mobile was awarded a �1,500 Bonus Caller Prize on 27/6/03. Our final attempt 2 contact U! Call 08714714011"
No spam,"Think i might have to give it a miss. Am teaching til twelve, then have lecture at two. Damn this working thing."
No spam,Id have to check but there's only like 1 bowls worth left
No spam,Yes there were many sweets
No spam,I would but I'm still cozy. And exhausted from last night.nobody went to school or work. Everything is closed.
spam,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901
No spam,Buzzzz! *grins* Did I buzz your ass? Buzz your chest ? Buzz your cock ? Where do you keep your phone ? Is the vibrator on ? Did you feel it shake ?
No spam,Sir send to group mail check it.
No spam,I'm doing da intro covers energy trends n pros n cons... Brief description of nuclear fusion n oso brief history of iter n jet got abt 7 n half pages..
No spam,"\NONE!NOWHERE IKNO DOESDISCOUNT!SHITINNIT"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
No spam,You dont know you jabo me abi.
spam,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?"
No spam,Not yet had..ya sapna aunty manege y'day hogidhe..chinnu full weak and swalpa black agidhane..
No spam,"Are you being good, baby? :)"
No spam,NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;
No spam,"Mostly sports type..lyk footbl,crckt.."
No spam,Ma head dey swell oh. Thanks for making my day
No spam,U should make a fb list
No spam,Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:\if it is made by my students
No spam,Sary just need Tim in the bollox &it hurt him a lot so he tol me!
No spam,Happy New Year Princess!
No spam,"I'll text carlos and let you know, hang on"
No spam,"Don't worry, * is easy once have ingredients!"
No spam,I love u 2 my little pocy bell I am sorry but I love u
No spam,"Ok omw now, you at castor?"
No spam,Yar lor... Keep raining non stop... Or u wan 2 go elsewhere?
spam,"Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth or DVD! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/4QF2"
No spam,What u mean u almost done? Done wif sleeping? But i tot u going to take a nap.. Yup i send her liao so i'm picking her up at ard 4 smth lor..
No spam,"""""""""""""""""""""""""""""""7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship""""""""""""""""""""""""""""""""... good morning dear"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
No spam,"Tonight? Yeah, I'd be down for that"
No spam,What should i eat fo lunch senor
No spam,"He said that he had a right giggle when he saw u again! You would possibly be the first person2die from NVQ, but think how much you could for! "
No spam,No break time one... How... I come out n get my stuff fr �_?
spam,Reply to win �100 weekly! What professional sport does Tiger Woods play? Send STOP to 87239 to end service
No spam,"I'm there and I can see you, but you can't see me ? Maybe you should reboot ym ? I seen the buzz"
No spam,Do you still have the grinder?
spam,No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info
No spam,"Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical"
spam,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call"
No spam,K.i did't see you.:)k:)where are you now?
No spam,So i'm doing a list of buyers.
No spam,"No idea, I guess we'll work that out an hour after we're supposed to leave since as usual nobody has any interest in figuring shit out before the last second"
No spam,Mm not entirely sure i understood that text but hey. Ho. Which weekend?
No spam,They released vday shirts and when u put it on it makes your bottom half naked instead of those white underwear.
No spam,Don know..he is watching film in computer..
No spam,No b4 Thursday
No spam,"Oh, then your phone phoned me but it disconnected"
No spam,Id onluy matters when getting on from offcampus
spam,This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18+only
No spam,"Excellent, I'll see what riley's plans are"
No spam,I will see in half an hour
spam,"You've won tkts to the EURO2004 CUP FINAL or �800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm"
No spam,Ew are you one of them?
No spam,Also hi wesley how've you been
No spam,Ah you see. You have to be in the lingo. I will let you know wot on earth it is when has finished making it!
spam,"Loan for any purpose �500 - �75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'"
spam,Update_Now - 12Mths Half Price Orange line rental: 400mins...Call MobileUpd8 on 08000839402 or call2optout=J5Q
No spam,Imagine Life WITHOUT ME... see.. How fast u are searching me?Don't worry.. l'm always there To disturb U.. Goodnoon..:)
No spam,"Hm good morning, headache anyone? :-)"
No spam,Yeah no probs - last night is obviously catching up with you... Speak soon 
spam,FREE UNLIMITED HARDCORE PORN direct 2 your mobile Txt PORN to 69200 & get FREE access for 24 hrs then chrgd@50p per day txt Stop 2exit. This msg is free
No spam,I might go 2 sch. Yar at e salon now v boring.
No spam, &lt;#&gt;  mins but i had to stop somewhere first.
No spam,"&lt;#&gt;  is fast approaching. So, Wish u a very Happy New Year Happy Sankranti Happy republic day Happy Valentines Day Happy Shivratri Happy Ugadi Happy Fools day Happy May Day Happy Independence Day, Happy Friendship,Mother,Father,Teachers,Childrens Day, &amp; HAPPY BIRTHDAY 4 U. Happy Ganesh festival Happy Dasara Happy Diwali Happy Christmas  &lt;#&gt;  Good Mornings Afternoons, Evenings Nights. RememberI AM the first to WISHING U ALL THESE...your's Raj"
No spam,One of the joys in lifeis waking up each daywith thoughts that somewhereSomeone cares enough tosend a warm morning greeting.. -
No spam,I didn't get the second half of that message
No spam,Wat time do u wan 2 meet me later?
No spam,I thank you so much for all you do with selflessness. I love you plenty.
No spam,Am in film ill call you later.
No spam,How dare you change my ring
No spam,You are a very very very very bad girl. Or lady.
No spam,I love ya too but try and budget your money better babe. Gary would freak on me if he knew
No spam,"""""""""""""""""""""""""""""""What part of \don't initiate"""""""""""""""""""""""""""""""" don't you understand"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
No spam,I finished my lunch already. U wake up already?
No spam,You still at the game?
No spam,You have got tallent but you are wasting.
No spam,What is your record for one night? :)
No spam,"Also sir, i sent you an email about how to log into the usc payment portal. I.ll send you another message that should explain how things are back home. Have a great weekend."
No spam, gonna let me know cos comes bak from holiday that day.  is coming. Don't4get2text me  number. 
No spam,Jokin only lar... :-) depends on which phone my father can get lor...
No spam,"Aight, lemme know what's up"
No spam,Get ready for  &lt;#&gt;  inches of pleasure...
No spam,Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.
No spam,;-) ok. I feel like john lennon.
No spam,Cos darren say �_ considering mah so i ask �_...
No spam,You are not bothering me but you have to trust my answers. Pls.
No spam,"""""""""""""""""""""""""""""""Wishing you and your family Merry \X"""""""""""""""""""""""""""""""" mas and HAPPY NEW Year in advance.."""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
No spam,One day a crab was running on the sea shore..The waves came n cleared the footprints of the crab.. Crab asked: being my frnd y r u clearing my beautiful footprints? Waves replied: A fox was following ur footprints to catch you! thats y i cleared it off:) frndsship never lets u dwn :-) GUD nyt..
No spam,Aight what time you want me to come up?
No spam,Slaaaaave ! Where are you ? Must I summon you to me all the time now ? Don't you wish to come to me on your own anymore?
No spam,Your bill at 3 is �33.65 so thats not bad!
No spam,Let me know how it changes in the next 6hrs. It can even be appendix but you are out of that age range. However its not impossible. So just chill and let me know in 6hrs
No spam,"Hello, yeah i've just got out of the bath and need to do my hair so i'll come up when i'm done, yeah?"
No spam,So how's the weather over there?
No spam,"Ok. Not much to do here though. H&M Friday, cant wait. Dunno wot the hell im gonna do for another 3 weeks! Become a slob- oh wait, already done that! "
No spam,Die... Now i have e toot fringe again...
No spam,Lol they don't know about my awesome phone. I could click delete right now if I want.
No spam,Ok
No spam,"""""""""""""""""""""""""""""""Awesome question with a cute answer: Someone asked a boy \how is ur life?"""""""""""""""""""""""""""""""" . . He smiled &amp; answered: . . \""""""""""""""""""""""""""""""""She is fine!\"""""""""""""""""""""""""""""""" Gudnite"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
No spam,Please leave this topic..sorry for telling that..
No spam,Pls send me the correct name da.
No spam,What happened to our yo date?
spam,EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN �100 Cash WKENT/150P16+
No spam,Webpage s not available!
No spam,Just woke up. Yeesh its late. But I didn't fall asleep til &lt;#&gt; am :/
spam,You are now unsubscribed all services. Get tons of sexy babes or hunks straight to your phone! go to http://gotbabes.co.uk. No subscriptions.
No spam,"Dear all, as we know  &lt;#&gt; th is the  &lt;#&gt; th birthday of our loving Gopalettan. We are planning to give a small gift on that day. Those who like to participate in that you are welcome. Please contact our admin team for more details"
No spam,K..k...from tomorrow onwards started ah?
No spam,What u talking bout early morning? It's almost noon where your at!
No spam,Fine. Do you remember me.
spam,"Hi babe its Jordan, how r u? Im home from abroad and lonely, text me back if u wanna chat xxSP visionsms.com Text stop to stopCost 150p 08712400603"
No spam,Ok. How many should i buy.
No spam,"Sounds good, keep me posted"
spam,Get a brand new mobile phone by being an agent of The Mob! Plus loads more goodies! For more info just text MAT to 87021.
No spam,Ok. So april. Cant wait
No spam,Boy you best get yo ass out here quick
No spam,Ay wana meet on sat?�_ wkg on sat?
No spam,I'm now but have to wait till 2 for the bus to pick me.
No spam,Apart from the one i told you about yesterday?
No spam,Ok lor... But buy wat?
No spam,Somebody should go to andros and steal ice
No spam,Don know. I did't msg him recently.
No spam,Take us out shopping and Mark will distract Isaiah.=D
No spam,"Mum, hope you are having a great day. Hoping this text meets you well and full of life. Have a great day. Abiola"
No spam,There is no sense in my foot and penis.
No spam,Okay but i thought you were the expert
No spam,*deep sigh* ... I miss you :-( ... I am really surprised you haven't gone to the net cafe yet to get to me ... Don't you miss me?
No spam,S.s:)i thinl role is like sachin.just standing. Others have to hit.
No spam,Have a great trip to India. And bring the light to everyone not just with the project but with everyone that is lucky to see you smile. Bye. Abiola
No spam,"And very importantly, all we discuss is between u and i only."
No spam,K..k:)how about your training process?
No spam,Ok lor. I ned 2 go toa payoh 4 a while 2 return smth u wan 2 send me there or wat?
No spam,In da car park 
No spam,I wish that I was with you. Holding you tightly. Making you see how important you are. How much you mean to me ... How much I need you ... In my life ...
No spam,So i asked how's anthony. Dad. And your bf
No spam,"'Wnevr i wana fal in luv vth my books, My bed fals in luv vth me..!'' . Yen madodu, nav pretsorginta, nammanna pretsovru important alwa....!!:) Gud eveB-)."
No spam,What Today-sunday..sunday is holiday..so no work..
No spam,Am going to take bath ill place the key in window:-)
spam,LORD OF THE RINGS:RETURN OF THE KING in store NOW!REPLY LOTR by 2 June 4 Chance 2 WIN LOTR soundtrack CDs StdTxtRate. Reply STOP to end txts
No spam,"Dear, take care. I am just reaching home.love u a lot."
No spam,staff.science.nus.edu.sg/~phyhcmk/teaching/pc1323
No spam,Have you emigrated or something? Ok maybe 5.30 was a bit hopeful...
No spam,Olol i printed out a forum post by a guy with the exact same  prob which was fixed with a gpu replacement. Hopefully they dont ignore that.
No spam,We walked from my moms. Right on stagwood pass right on winterstone left on victors hill. Address is &lt;#&gt;
No spam,"Yo, you at jp and hungry like a mofo?"
No spam,This is all just creepy and crazy to me.
No spam,Ok... I din get ur msg...
No spam,Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas
No spam,Pathaya enketa maraikara pa'
